title,authors,abstract,publish_text,year,publish,ref_wr,key_words,resource
计算机网络路由研究综述,闵应骅,"网络路由一直是网络的关键问题.今天的计算机网络非常庞大、高速,传载着各种多媒体信息,因此,网络路由面临新的挑战.路由算法层出不穷,目的都是为了寻找最优路径(或者满足要求的路径)来传递信息,提高服务质量,同时,提高网络整体资源利用率.该文试图综述计算机网络路由研究目前面对的问题及解决这些问题的进展,包括多计算机系统路由、有线网络路由及无线网络路由,并提出如何在计算机网络路由研究方面创新的一些看法.",,2003.0,,99,"计算机网络,有线网络,无线网络,路由",计算机网络路由研究综述.pdf
计算机网络课程教学改革与实践,刘彦保,摘 要： 目前计算机网络课程教学中教学内容与实际脱离、教学模式不适应课程特点、实验教学环节薄弱。其课程教学改革应从优化教学内容、构建新型教学模式和强化实验教学等三个方面入手。,,2006.0,,69,"计算机网络,教学改革,实验教学,教学模式",计算机网络课程教学改革与实践.pdf
计算机网络课程教学的思考与创新,陈鸣，胡谷雨，周雷...,"为了解决目前计算机网络课程教学针对性不强的问题,本文提出了对网络教学内容进行分类以更好地满足不同专业教学需求的观点。探讨了网络实验的基本功能,将网络实验分为原理验证型、实践应用型和探索研究型。分析了目前流行的网络实验几种模式及其特点,提出了新型的""分类模式""。最后,介绍了采用""分类模式""进行网络实验的成功案例。",,2008.0,,49,"计算机网络,实验,功能,分类模式",计算机网络课程教学的思考与创新.pdf
计算机网络信息安全及防护策略研究,王红梅，宗慧娟，王爱民,本文主要对计算机网络信息安全的威胁性和保护性因素进行分析，并在此基础上提供一个计算机网络信息安全防护策略，以期能对我国计算机网络信息安全防护提供有意义的借鉴和参考。,,2011.0,,60,"计算机网络,信息安全,防护策略",大数据时代计算机网络信息安全及防护策略研究.pdf
计算机网络服务质量优化方法研究综述,林闯，李寅，万剑雄,"优化方法为设计更好的计算机网络服务质量保证机制提供了有力的理论支持.相较于传统启发式的网络设计方法,优化方法可以从理论上找到问题的最优解,从而从根本上克服了启发式方法不能证明方案优劣程度的缺陷.因此,基于优化方法的机制设计与性能评价成为了当前网络服务质量领域中的一个前沿研究领域.大量的研究着眼于从优化理论的角度重新建立网络模型,按照优化理论给出的求解机制和实施方案设计网络协议.计算机网络的优化可以划分为资源分配、任务调度、网络资源部署和系统参数配置等4方面问题.对计算机网络服务质量的优化建模、求解、实施和评价成为当今研究的热点.根据最新网络服务质量优化的研究进展,文中对计算机网络服务质量研究中所涉及到的优化技术进行了研究与综述,主要包括4个方面:系统地描述了计算机网络模型优化算法的通用表达形式,并将其按照不同的方式进行分类;探讨了不同结构的优化模型对应的求解方案;对比分析了不同优化算法的实施方案,给出了方案之间的联系与区别;归纳了计算机网络中优化方案的性能和代价评价方法.最后,对全文进行了总结,并展望了进一步的研究方向.",,2011.0,,86,"服务质量,优化模型,资源配置,任务调度,性能评价",计算机网络服务质量优化方法研究综述.pdf
提高计算机网络可靠性的方法研究,张晓杰，姜同敏，王晓峰,"为研究提高计算机网络可靠性的方法,研究建设高可靠计算机网络的途径,满足国民经济和社会生活对高可靠计算机网络的需要,在简要介绍计算机网络发展现状的基础上,从工程实践角度总结出计算机网络的可靠性设计原则,并通过某单位计算机网络的硬件设计实例,提出了完整的网络系统硬件可靠性设计方案.通过结合莱研究所计算机网络的软件设计实例,提出了一套网络系统的软件可靠性设计方法.该可靠性设计技术对提高计算机网络的可靠性设计水平具有参考价值.",,2010.0,,109,"计算机网络,网络可靠性,局域网络,服务器机群,防火墙系统",提高计算机网络可靠性的方法研究.pdf
计算机网络教学研究,李成忠,"介绍和研究了我们在""《计算机网络》课程教学内容体系改革与实验环境建设研究""项目中有关加强教材建设的必要性的指导思想。并提出了将《计算机网络原理与设计》一书用于不同教学对象时的教学计划建议。",,2004.0,,98,"计算机网络,教学研究,教学计划",计算机网络教学研究.pdf
计算机网络模拟方法与工具,雷擎，王行刚,"在计算机网络研究中 ,模拟是一种快速而经济的重要研究手段 ,而网络模拟的有效性和精确性取决于网络模拟软件工具的性能。本文着重探讨了研究与开发网络模拟工具的方法 ,并基于前面分析与研究的结果 ,提出了网络模拟工具的体系结构 ,以满足网络模拟研究的需要 ,同时定义了其各部分功能。本文中还简要介绍了一些现有的成功网络模拟软件工具",,2001.0,,123,"网络模拟,网络模拟工具,体系结构,网络建模",计算机网络模拟方法与工具.pdf
计算机网络安全性分析建模研究,张涛，胡铭曾，云晓春...,"摘 要： 安全性分析研究工作需要把计算机网络与安全相关的系统资源和安全因素抽取出来建立一种面向安全性分析的安全模型.从安全需求的类别、等级和面临的主要威胁出发,分析了系统设备、访问权限、主体连接关系和弱点,从攻击者目的是提升特权的角度对攻击作了形式化的描述.针对计算机系统的安全故障树方法和网络信息系统的攻击图方法应用了这一安全分析建模工作.",,2005.0,,57,"计算机网络安全,安全模型,弱点,攻击,故障树,攻击图",计算机网络安全性分析建模研究.pdf
计算机网络入侵检测系统的研究,周建国，曹庆国，赵庆军,"入侵检测是近年来网络安全研究的热点之一,该文简述了入侵检测研究的背景和意义,介绍了入侵的定义和入侵检测的分类,对比分析了各种入侵检测方法和入侵检测系统的体系结构的优缺点,最后指出了今后入侵检测的研究方向.",,2003.0,,85,"入侵检测,网络安全,计算机安全",计算机网络入侵检测系统的研究.pdf
试论计算机网络的道德问题,周宏,"现在我们已经进入一个网络的时代。计算机网络的广泛使用引起了社会生活各个方面的革命性变革。从伦理学的角度看 ,计算机网络的使用对道德的发展既起着促进的作用 ,同时又引发一系列的道德新问题。如何合理地使用网络 ,充分发挥网络的功能 ,建立一定的网络道德规范体系是极为必要的。这不仅是计算机网络发展的内在要求 ,也是人类道德进一步发展的需要。",,2000.0,,80,"计算机网络,道德,交往,道德主体,道德规范",试论计算机网络的道德问题.pdf
计算机网络的一种实体安全体系结构,段海新，吴建平,摘 要： 提出了计算机网络的一种实体安全体系结构（ESA）。文中描述了计算机网络的组成实体，并讨论了各实体的安全功能分配。基于ESA，提出了基于政策的安全管理（PBSM）的概念，其中包括三层安全政策的定义：组织抽象安全政策、全局自动完全政策、局部可执行安全政策，并提出了PBSM的三个管理环节：制定、实施与验证，把网络作为一个整体来管理，实现安全管理的系统化和自动化。应用实体安全体系结构，分析了现有网络安全服务的不足和安全管理中存在的问题，指出了实现ESA的进一步研究工作。,,,,56,"计算机网络,安全体系结构,安全政策,防火墙",计算机网络的一种实体安全体系结构.pdf
计算机网络中学生间社会性交互的规律,陈丽,"本研究的目的是总结和发现计算机网络环境中社会性交互的规律。研究方法是基于丰富案例的归纳概括和理论抽象。研究结果共包括四个方面的内容:第一、计算机网络作为教学交互系统的交互性;第二、计算机网络环境中社会性交互的特点;第三、计算机网络环境中有效社会性交互的特征;第四、影响计算机网络环境中社会性交互的因素分析模型。作者希望,该研究成果能够指导实践者设计有效的社会性交互活动;并能够为深入研究社会性交互规律提供理论基础和重要参考。",,2004.0,,65,"计算机网络,社会性交互,因素分析模型",计算机网络中学生间社会性交互的规律.pdf
计算机网络安全体系的一种框架结构及其应用,段海新，吴建平,文章首先给出计算机网络安全体系结构相关概念的定义，然后从安全需求的角度提出了计算机网络安全体系的一种框架结构。通过分析各种安全服务之间的依赖关系，提出一种按照安全服务安全机制的强度对网络安全进行分类和分级的方法；结合 ＩＰＳｅｃ和 ＳＳＬ，分析了 ＴＣＰ／ＩＰ协议体系各层的安全机制，提出了实现安全服务和安全管理的协议层实体模型；最后给出了单元安全技术在安全体系结构中的位置，并论述了该框架结构在实际网络工程安全设计中的应用。,,2000.0,,72,"计算机网络,安全体系结构,框架结构,TCP/IP协议",计算机网络安全体系的一种框架结构及其应用.pdf
计算机网络实验教学研究,李成忠，张新有，贾真,"摘 要： 针对计算机网络实验条件差这一状况,作者结合实际情况,编写了实验教材和网络实验环境的建设方案,并在以下几个方面提高学生的专业能力:分析软、硬件产品的能力;维修软、硬件产品的能力;设计软、硬件和试验开发的能力;学习、掌握和应用现有设备的能力,特别是组织构造系统应用环境的集成能力.为此,计算机网络实验教材应将计算机网络的理论基础与实验教学内容有机地组织起来,以适应社会发展的需要.",,2005.0,,62,"计算机网络,实验教学,网络实验环境",计算机网络实验教学研究.pdf
计算机网络攻击效果评估技术研究,张义荣，鲜明，赵志超...,"计算机网络攻击效果评估技术是信息系统安全评估中一个重要而具有挑战性的课题.目前,相关的理论尚不成熟,有关的研究报道较少.简要总结了当前已经存在的主要信息安全的评估方法,在此基础上,从便于实际度量和计算的角度出发,提出了基于网络信息熵的评估技术、基于系统安全层次分析的安全评估框架和基于指标分析的网络攻击效果综合评估技术等三种评估模型,并分析了各自在使用中应注意的问题.",,2002.0,,93,"网络安全,攻击效果评估,网络熵,安全指标,层次分析法(AHP)",计算机网络攻击效果评估技术研究.pdf
计算机网络信息安全及防护策略研究,彭珺，高珺,"随着网络的飞速发展,网络信息安全也越来越受到人们的重视。通过对威胁网络信息安全因素的分析,进而提出了五种常用计算机网络信息安全防护策略,并对网络信息安全发展进行了展望—形成网络信息安全防护体系。",,2011.0,,179,"计算机网络,网络信息安全,安全威胁,防范措施,安全防护体系",大数据时代计算机网络信息安全及防护策略研究.pdf
计算机网络上数字传输的版权问题研究,袁泳,"正 计算机网络上的数字传输(digital transmission),是传播技术史上的一大变革。数字传输是指通过计算机网络把信息从一个地方送到另一个地方。数字传输与传统的广播相比,节目播放者和节目接收者之间主动和被动的关系不同。",,1998.0,,88,"数字传输,计算机网络,版权人,复制件,版权法,作品,计算机显示器,版权问题,伯尔尼公约,精神权利",计算机网络上数字传输的版权问题研究.pdf
